ID,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?",What you miss the most
R171,20,0.0,Very poor,Smartphone,3.0,2.0,8.0,2.0,1,3,Remain Constant,YES,Listening to music,YES,YES,School/college
R172,20,0.0,Very poor,Smartphone,1.0,0.0,8.0,0.5,1,3,Decreased,YES,Reading books,NO,YES,Roaming around freely
R173,16,4.0,Excellent,Laptop/Desktop,3.0,2.0,10.0,1.0,1,3,Increased,NO,Online gaming,YES,YES,"Friends , relatives"
R174,22,1.0,Average,Smartphone,3.0,1.0,7.0,1.0,0,3,Remain Constant,NO,Sleep,NO,YES,School/college
R175,20,5.0,Average,Laptop/Desktop,4.0,0.0,10.0,2.0,4,3,Decreased,NO,Sleep,YES,YES,Roaming around freely
R176,21,0.0,Good,Smartphone,4.0,1.0,8.0,2.0,0,2,Decreased,YES,Online gaming,YES,YES,Colleagues
R177,34,3.0,Good,Laptop/Desktop,3.0,1.0,7.0,1.0,2,3,Remain Constant,NO,Sleeping,YES,YES,Travelling
R178,22,0.0,Average,Laptop/Desktop,3.0,1.0,9.0,0.0,2,5,Decreased,NO,Watching web series,NO,YES,Roaming around freely
R179,22,6.0,Good,Laptop/Desktop,2.0,1.0,8.0,4.0,0,4,Remain Constant,NO,Online gaming,NO,YES,Colleagues
R180,21,1.0,Average,Laptop/Desktop,1.0,2.0,7.0,2.0,1,4,Increased,NO,Listening to music,NO,YES,"Friends , relatives"
R181,20,1.0,Very poor,Smartphone,2.0,1.0,8.0,3.0,0,3,Remain Constant,NO,Watching web series,YES,NO,"Friends , relatives"
R182,21,3.0,Average,Smartphone,0.5,3.0,6.0,2.0,0,3,Remain Constant,NO,Online gaming,YES,YES,School/college
R183,19,2.0,Very poor,Smartphone,2.0,1.0,8.0,2.0,2,3,Increased,YES,Listening to music,YES,YES,Roaming around freely
R184,22,1.0,Very poor,Smartphone,7.0,0.0,7.0,1.0,0,3,Remain Constant,NO,Talking to your relatives,YES,YES,"Friends , relatives"
R185,20,3.0,Very poor,Laptop/Desktop,1.5,1.0,6.0,2.0,1.5,2,Decreased,YES,Watching web series,NO,NO,"Friends , relatives"
R186,14,4.0,Very poor,Smartphone,1.0,0.0,9.0,1.5,5,3,Remain Constant,NO,Reading books,NO,YES,"Friends , relatives"
R187,22,1.0,Average,Smartphone,4.0,0.5,11.0,1.0,0,3,Remain Constant,YES,Listening to music,NO,NO,School/college
R188,22,2.0,Average,Laptop/Desktop,5.0,0.0,8.0,3.0,1,3,Increased,NO,Listening to music,YES,YES,School/college
R189,19,2.0,Poor,Smartphone,10.0,0.25,8.0,2.0,0,3,Increased,NO,Talking to your relatives,YES,YES,School/college
R190,21,1.0,Average,Smartphone,0.0,1.0,6.0,2.0,0,2,Decreased,NO,Online gaming,NO,YES,School/college
R191,15,5.0,Average,Smartphone,5.0,0.0,7.0,3.0,2,3,Remain Constant,NO,Watching web series,NO,YES,School/college
R192,21,3.0,Good,Laptop/Desktop,3.0,0.5,8.0,4.0,0,3,Remain Constant,NO,Web Series,NO,YES,Colleagues
R193,21,3.0,Very poor,Smartphone,8.0,3.0,7.0,3.0,0,3,Decreased,YES,Talking to your relatives,NO,NO,School/college
R194,34,3.0,Average,Laptop/Desktop,3.0,1.0,8.0,1.0,1,3,Remain Constant,NO,Talking to your relatives,YES,YES,Travelling
R195,22,3.0,Very poor,Laptop/Desktop,0.0,5.0,8.0,10.0,No tv,3,Remain Constant,NO,Talking to your relatives,NO,YES,"Friends , relatives"
R196,34,1.5,Poor,Laptop/Desktop,1.0,0.0,6.0,1.0,0,2,Remain Constant,YES,Online surfing,NO,NO,Taking kids to park
R197,21,4.0,Good,Laptop/Desktop,4.0,1.0,7.0,2.0,2,3,Remain Constant,NO,Talking,YES,YES,Colleagues
R198,20,3.0,Average,Laptop/Desktop,3.0,1.0,7.0,1.0,0,3,Remain Constant,NO,Listening to music,YES,YES,School/college
R199,20,3.0,Very poor,Laptop/Desktop,5.0,0.0,7.5,2.0,0.5,4,Increased,NO,Sleep,YES,NO,School/college
R200,25,2.0,Very poor,Laptop/Desktop,3.0,1.0,8.0,4.0,1,2,Increased,NO,Watching web series,NO,NO,Roaming around freely
R201,19,0.5,Very poor,Smartphone,3.0,1.0,8.0,1.0,0,2,Remain Constant,NO,Sleep,YES,YES,School/college
R202,26,5.0,Average,Laptop/Desktop,10.0,1.0,8.0,1.0,0.5,2,Remain Constant,NO,Meditation,YES,YES,Roaming around freely
R203,20,3.0,Good,Laptop/Desktop,4.0,0.0,8.0,2.0,0,3,Remain Constant,NO,Cooking,YES,YES,Travelling
R204,24,7.0,Very poor,Laptop/Desktop,7.0,2.0,7.0,2.0,0,3,Remain Constant,NO,Reading books,YES,YES,Travelling
